Geo,Year,PaydHhProp
Baker,1990,0
Benton,1990,0
Clackamas,1990,0
Clatsop,1990,0
Columbia,1990,0
Coos,1990,0
Crook,1990,0
Curry,1990,0
Deschutes,1990,0
Douglas,1990,0
Gilliam,1990,0
Grant,1990,0
Harney,1990,0
Hood River,1990,0
Jackson,1990,0
Jefferson,1990,0
Josephine,1990,0
Klamath,1990,0
Lake,1990,0
Lane,1990,0
Lincoln,1990,0
Linn,1990,0
Malheur,1990,0
Marion,1990,0
Morrow,1990,0
Multnomah,1990,0
Polk,1990,0
Sherman,1990,0
Tillamook,1990,0
Umatilla,1990,0
Union,1990,0
Wallowa,1990,0
Wasco,1990,0
Washington,1990,0
Wheeler,1990,0
Yamhill,1990,0
Baker,1995,0
Benton,1995,0
Clackamas,1995,0
Clatsop,1995,0
Columbia,1995,0
Coos,1995,0
Crook,1995,0
Curry,1995,0
Deschutes,1995,0
Douglas,1995,0
Gilliam,1995,0
Grant,1995,0
Harney,1995,0
Hood River,1995,0
Jackson,1995,0
Jefferson,1995,0
Josephine,1995,0
Klamath,1995,0
Lake,1995,0
Lane,1995,0
Lincoln,1995,0
Linn,1995,0
Malheur,1995,0
Marion,1995,0
Morrow,1995,0
Multnomah,1995,0
Polk,1995,0
Sherman,1995,0
Tillamook,1995,0
Umatilla,1995,0
Union,1995,0
Wallowa,1995,0
Wasco,1995,0
Washington,1995,0
Wheeler,1995,0
Yamhill,1995,0
Baker,2000,0
Benton,2000,0
Clackamas,2000,0
Clatsop,2000,0
Columbia,2000,0
Coos,2000,0
Crook,2000,0
Curry,2000,0
Deschutes,2000,0
Douglas,2000,0
Gilliam,2000,0
Grant,2000,0
Harney,2000,0
Hood River,2000,0
Jackson,2000,0
Jefferson,2000,0
Josephine,2000,0
Klamath,2000,0
Lake,2000,0
Lane,2000,0
Lincoln,2000,0
Linn,2000,0
Malheur,2000,0
Marion,2000,0
Morrow,2000,0
Multnomah,2000,0
Polk,2000,0
Sherman,2000,0
Tillamook,2000,0
Umatilla,2000,0
Union,2000,0
Wallowa,2000,0
Wasco,2000,0
Washington,2000,0
Wheeler,2000,0
Yamhill,2000,0
Baker,2005,0
Benton,2005,0
Clackamas,2005,0
Clatsop,2005,0
Columbia,2005,0
Coos,2005,0
Crook,2005,0
Curry,2005,0
Deschutes,2005,0
Douglas,2005,0
Gilliam,2005,0
Grant,2005,0
Harney,2005,0
Hood River,2005,0
Jackson,2005,0
Jefferson,2005,0
Josephine,2005,0
Klamath,2005,0
Lake,2005,0
Lane,2005,0
Lincoln,2005,0
Linn,2005,0
Malheur,2005,0
Marion,2005,0
Morrow,2005,0
Multnomah,2005,0
Polk,2005,0
Sherman,2005,0
Tillamook,2005,0
Umatilla,2005,0
Union,2005,0
Wallowa,2005,0
Wasco,2005,0
Washington,2005,0
Wheeler,2005,0
Yamhill,2005,0
Baker,2010,0
Benton,2010,0
Clackamas,2010,0
Clatsop,2010,0
Columbia,2010,0
Coos,2010,0
Crook,2010,0
Curry,2010,0
Deschutes,2010,0
Douglas,2010,0
Gilliam,2010,0
Grant,2010,0
Harney,2010,0
Hood River,2010,0
Jackson,2010,0
Jefferson,2010,0
Josephine,2010,0
Klamath,2010,0
Lake,2010,0
Lane,2010,0
Lincoln,2010,0
Linn,2010,0
Malheur,2010,0
Marion,2010,0
Morrow,2010,0
Multnomah,2010,0
Polk,2010,0
Sherman,2010,0
Tillamook,2010,0
Umatilla,2010,0
Union,2010,0
Wallowa,2010,0
Wasco,2010,0
Washington,2010,0
Wheeler,2010,0
Yamhill,2010,0
Baker,2015,0.04
Benton,2015,0.04
Clackamas,2015,0.04
Clatsop,2015,0.04
Columbia,2015,0.04
Coos,2015,0.04
Crook,2015,0.04
Curry,2015,0.04
Deschutes,2015,0.04
Douglas,2015,0.04
Gilliam,2015,0.04
Grant,2015,0.04
Harney,2015,0.04
Hood River,2015,0.04
Jackson,2015,0.04
Jefferson,2015,0.04
Josephine,2015,0.04
Klamath,2015,0.04
Lake,2015,0.04
Lane,2015,0.04
Lincoln,2015,0.04
Linn,2015,0.04
Malheur,2015,0.04
Marion,2015,0.04
Morrow,2015,0.04
Multnomah,2015,0.04
Polk,2015,0.04
Sherman,2015,0.04
Tillamook,2015,0.04
Umatilla,2015,0.04
Union,2015,0.04
Wallowa,2015,0.04
Wasco,2015,0.04
Washington,2015,0.04
Wheeler,2015,0.04
Yamhill,2015,0.04
Baker,2020,0.06
Benton,2020,0.06
Clackamas,2020,0.06
Clatsop,2020,0.06
Columbia,2020,0.06
Coos,2020,0.06
Crook,2020,0.06
Curry,2020,0.06
Deschutes,2020,0.06
Douglas,2020,0.06
Gilliam,2020,0.06
Grant,2020,0.06
Harney,2020,0.06
Hood River,2020,0.06
Jackson,2020,0.06
Jefferson,2020,0.06
Josephine,2020,0.06
Klamath,2020,0.06
Lake,2020,0.06
Lane,2020,0.06
Lincoln,2020,0.06
Linn,2020,0.06
Malheur,2020,0.06
Marion,2020,0.06
Morrow,2020,0.06
Multnomah,2020,0.06
Polk,2020,0.06
Sherman,2020,0.06
Tillamook,2020,0.06
Umatilla,2020,0.06
Union,2020,0.06
Wallowa,2020,0.06
Wasco,2020,0.06
Washington,2020,0.06
Wheeler,2020,0.06
Yamhill,2020,0.06
Baker,2025,0.08
Benton,2025,0.08
Clackamas,2025,0.08
Clatsop,2025,0.08
Columbia,2025,0.08
Coos,2025,0.08
Crook,2025,0.08
Curry,2025,0.08
Deschutes,2025,0.08
Douglas,2025,0.08
Gilliam,2025,0.08
Grant,2025,0.08
Harney,2025,0.08
Hood River,2025,0.08
Jackson,2025,0.08
Jefferson,2025,0.08
Josephine,2025,0.08
Klamath,2025,0.08
Lake,2025,0.08
Lane,2025,0.08
Lincoln,2025,0.08
Linn,2025,0.08
Malheur,2025,0.08
Marion,2025,0.08
Morrow,2025,0.08
Multnomah,2025,0.08
Polk,2025,0.08
Sherman,2025,0.08
Tillamook,2025,0.08
Umatilla,2025,0.08
Union,2025,0.08
Wallowa,2025,0.08
Wasco,2025,0.08
Washington,2025,0.08
Wheeler,2025,0.08
Yamhill,2025,0.08
Baker,2030,0.1
Benton,2030,0.1
Clackamas,2030,0.1
Clatsop,2030,0.1
Columbia,2030,0.1
Coos,2030,0.1
Crook,2030,0.1
Curry,2030,0.1
Deschutes,2030,0.1
Douglas,2030,0.1
Gilliam,2030,0.1
Grant,2030,0.1
Harney,2030,0.1
Hood River,2030,0.1
Jackson,2030,0.1
Jefferson,2030,0.1
Josephine,2030,0.1
Klamath,2030,0.1
Lake,2030,0.1
Lane,2030,0.1
Lincoln,2030,0.1
Linn,2030,0.1
Malheur,2030,0.1
Marion,2030,0.1
Morrow,2030,0.1
Multnomah,2030,0.1
Polk,2030,0.1
Sherman,2030,0.1
Tillamook,2030,0.1
Umatilla,2030,0.1
Union,2030,0.1
Wallowa,2030,0.1
Wasco,2030,0.1
Washington,2030,0.1
Wheeler,2030,0.1
Yamhill,2030,0.1
Baker,2035,0.12
Benton,2035,0.12
Clackamas,2035,0.12
Clatsop,2035,0.12
Columbia,2035,0.12
Coos,2035,0.12
Crook,2035,0.12
Curry,2035,0.12
Deschutes,2035,0.12
Douglas,2035,0.12
Gilliam,2035,0.12
Grant,2035,0.12
Harney,2035,0.12
Hood River,2035,0.12
Jackson,2035,0.12
Jefferson,2035,0.12
Josephine,2035,0.12
Klamath,2035,0.12
Lake,2035,0.12
Lane,2035,0.12
Lincoln,2035,0.12
Linn,2035,0.12
Malheur,2035,0.12
Marion,2035,0.12
Morrow,2035,0.12
Multnomah,2035,0.12
Polk,2035,0.12
Sherman,2035,0.12
Tillamook,2035,0.12
Umatilla,2035,0.12
Union,2035,0.12
Wallowa,2035,0.12
Wasco,2035,0.12
Washington,2035,0.12
Wheeler,2035,0.12
Yamhill,2035,0.12
Baker,2040,0.14
Benton,2040,0.14
Clackamas,2040,0.14
Clatsop,2040,0.14
Columbia,2040,0.14
Coos,2040,0.14
Crook,2040,0.14
Curry,2040,0.14
Deschutes,2040,0.14
Douglas,2040,0.14
Gilliam,2040,0.14
Grant,2040,0.14
Harney,2040,0.14
Hood River,2040,0.14
Jackson,2040,0.14
Jefferson,2040,0.14
Josephine,2040,0.14
Klamath,2040,0.14
Lake,2040,0.14
Lane,2040,0.14
Lincoln,2040,0.14
Linn,2040,0.14
Malheur,2040,0.14
Marion,2040,0.14
Morrow,2040,0.14
Multnomah,2040,0.14
Polk,2040,0.14
Sherman,2040,0.14
Tillamook,2040,0.14
Umatilla,2040,0.14
Union,2040,0.14
Wallowa,2040,0.14
Wasco,2040,0.14
Washington,2040,0.14
Wheeler,2040,0.14
Yamhill,2040,0.14
Baker,2045,0.16
Benton,2045,0.16
Clackamas,2045,0.16
Clatsop,2045,0.16
Columbia,2045,0.16
Coos,2045,0.16
Crook,2045,0.16
Curry,2045,0.16
Deschutes,2045,0.16
