Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Metro,1990,1,0,0,1,0,0,0,0,1
Metro,1995,1,0,0,1,0,0,0,0,1
Metro,2000,1,0,0,1,0,0,0,0,1
Metro,2005,1,0,0,1,0,0,0,0,1
Metro,2010,1,0,0,1,0,0,0.027303359,0,0.972696641
Metro,2015,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2020,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2025,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2030,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2035,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2040,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2045,1,0,0,1,0,0,0.02305353,0,0.97694647
Metro,2050,1,0,0,1,0,0,0.02305353,0,0.97694647
Bend,1990,1,0,0,1,0,0,1,0,0
Bend,1995,1,0,0,1,0,0,1,0,0
Bend,2000,1,0,0,1,0,0,1,0,0
Bend,2005,1,0,0,1,0,0,1,0,0
Bend,2010,1,0,0,1,0,0,1,0,0
Bend,2015,1,0,0,1,0,0,1,0,0
Bend,2020,1,0,0,1,0,0,1,0,0
Bend,2025,1,0,0,1,0,0,1,0,0
Bend,2030,1,0,0,1,0,0,1,0,0
Bend,2035,1,0,0,1,0,0,1,0,0
Bend,2040,1,0,0,1,0,0,1,0,0
Bend,2045,1,0,0,1,0,0,1,0,0
Bend,2050,1,0,0,1,0,0,1,0,0
Corvallis,1990,1,0,0,1,0,0,1,0,0
Corvallis,1995,1,0,0,1,0,0,1,0,0
Corvallis,2000,1,0,0,1,0,0,1,0,0
Corvallis,2005,1,0,0,1,0,0,1,0,0
Corvallis,2010,1,0,0,1,0,0,1,0,0
Corvallis,2015,1,0,0,1,0,0,1,0,0
Corvallis,2020,1,0,0,1,0,0,1,0,0
Corvallis,2025,1,0,0,1,0,0,1,0,0
Corvallis,2030,1,0,0,1,0,0,1,0,0
Corvallis,2035,1,0,0,1,0,0,1,0,0
Corvallis,2040,1,0,0,1,0,0,1,0,0
Corvallis,2045,1,0,0,1,0,0,1,0,0
Corvallis,2050,1,0,0,1,0,0,1,0,0
EugeneSpringfield,1990,1,0,0,1,0,0,1,0,0
EugeneSpringfield,1995,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2000,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2005,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2010,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2015,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2020,1,0,0,0.921875,0,0.078125,1,0,0
EugeneSpringfield,2025,1,0,0,0.871212121,0,0.128787879,1,0,0
EugeneSpringfield,2030,1,0,0,0.826086957,0,0.173913043,1,0,0
EugeneSpringfield,2035,1,0,0,0.783216783,0,0.216783217,1,0,0
EugeneSpringfield,2040,1,0,0,0.744966443,0,0.255033557,1,0,0
EugeneSpringfield,2045,1,0,0,0.711538462,0,0.288461538,1,0,0
EugeneSpringfield,2050,1,0,0,0.687116564,0,0.312883436,1,0,0
RogueValley,1990,1,0,0,1,0,0,1,0,0
RogueValley,1995,1,0,0,1,0,0,1,0,0
RogueValley,2000,1,0,0,1,0,0,1,0,0
RogueValley,2005,1,0,0,1,0,0,1,0,0
RogueValley,2010,1,0,0,1,0,0,1,0,0
RogueValley,2015,1,0,0,1,0,0,1,0,0
RogueValley,2020,1,0,0,1,0,0,1,0,0
RogueValley,2025,1,0,0,1,0,0,1,0,0
RogueValley,2030,1,0,0,1,0,0,1,0,0
RogueValley,2035,1,0,0,1,0,0,1,0,0
RogueValley,2040,1,0,0,1,0,0,1,0,0
RogueValley,2045,1,0,0,1,0,0,1,0,0
RogueValley,2050,1,0,0,1,0,0,1,0,0
SalemKeizer,1990,1,0,0,1,0,0,1,0,0
SalemKeizer,1995,1,0,0,1,0,0,1,0,0
SalemKeizer,2000,1,0,0,1,0,0,1,0,0
SalemKeizer,2005,1,0,0,1,0,0,1,0,0
SalemKeizer,2010,1,0,0,1,0,0,1,0,0
SalemKeizer,2015,1,0,0,1,0,0,1,0,0
SalemKeizer,2020,1,0,0,1,0,0,1,0,0
SalemKeizer,2025,1,0,0,1,0,0,1,0,0
SalemKeizer,2030,1,0,0,1,0,0,1,0,0
SalemKeizer,2035,1,0,0,1,0,0,1,0,0
SalemKeizer,2040,1,0,0,1,0,0,1,0,0
SalemKeizer,2045,1,0,0,1,0,0,1,0,0
SalemKeizer,2050,1,0,0,1,0,0,1,0,0
Albany,1990,1,0,0,1,0,0,1,0,0
Albany,1995,1,0,0,1,0,0,1,0,0
Albany,2000,1,0,0,1,0,0,1,0,0
Albany,2005,1,0,0,1,0,0,1,0,0
Albany,2010,1,0,0,1,0,0,1,0,0
Albany,2015,1,0,0,1,0,0,1,0,0
Albany,2020,1,0,0,1,0,0,1,0,0
Albany,2025,1,0,0,1,0,0,1,0,0
Albany,2030,1,0,0,1,0,0,1,0,0
Albany,2035,1,0,0,1,0,0,1,0,0
Albany,2040,1,0,0,1,0,0,1,0,0
Albany,2045,1,0,0,1,0,0,1,0,0
Albany,2050,1,0,0,1,0,0,1,0,0
GrantsPass,1990,1,0,0,1,0,0,1,0,0
GrantsPass,1995,1,0,0,1,0,0,1,0,0
GrantsPass,2000,1,0,0,1,0,0,1,0,0
GrantsPass,2005,1,0,0,1,0,0,1,0,0
GrantsPass,2010,1,0,0,1,0,0,1,0,0
GrantsPass,2015,1,0,0,1,0,0,1,0,0
GrantsPass,2020,1,0,0,0.8125,0,0.1875,1,0,0
GrantsPass,2025,1,0,0,0.764705882,0,0.235294118,1,0,0
GrantsPass,2030,1,0,0,0.722222222,0,0.277777778,1,0,0
GrantsPass,2035,1,0,0,0.684210526,0,0.315789474,1,0,0
GrantsPass,2040,1,0,0,0.65,0,0.35,1,0,0
GrantsPass,2045,1,0,0,0.636363636,0,0.363636364,1,0,0
GrantsPass,2050,1,0,0,0.565217391,0,0.434782609,1,0,0
None,1990,1,0,0,1,0,0,0,0,1
None,1995,1,0,0,1,0,0,0,0,1
None,2000,1,0,0,1,0,0,0,0,1
None,2005,1,0,0,1,0,0,0,0,1
None,2010,1,0,0,1,0,0,0,0,1
None,2015,1,0,0,1,0,0,0,0,1
None,2020,1,0,0,1,0,0,0,0,1
None,2025,1,0,0,1,0,0,0,0,1
None,2030,1,0,0,1,0,0,0,0,1
None,2035,1,0,0,1,0,0,0,0,1
None,2040,1,0,0,1,0,0,0,0,1
None,2045,1,0,0,1,0,0,0,0,1
None,2050,1,0,0,1,0,0,0,0,1
