Geo,Year,FwyLaneMi,ArtLaneMi
Albany,1990,35,133
Albany,1995,35,133
Albany,2000,35,133
Albany,2005,35,133
Albany,2010,35,133
Albany,2015,35,133
Albany,2020,35,133
Albany,2025,35,134.4285714
Albany,2030,35,135.8571429
Albany,2035,35,137.2857143
Albany,2040,35,138.7142857
Albany,2045,35,140.1428571
Albany,2050,35,143
Bend,1990,48,156.29
Bend,1995,48,158.44
Bend,2000,48,160.93
Bend,2005,48,164
Bend,2010,48,163
Bend,2015,48,181
Bend,2020,48,181
Bend,2025,48,181
Bend,2030,48,181
Bend,2035,48,181
Bend,2040,48,181
Bend,2045,48,181
Bend,2050,48,181
Corvallis,1990,10,135.9999775
Corvallis,1995,10,136.7870039
Corvallis,2000,10,132.75
Corvallis,2005,10,136
Corvallis,2010,10,131
Corvallis,2015,10,143
Corvallis,2020,10,143
Corvallis,2025,10,144
Corvallis,2030,10,145
Corvallis,2035,10,146
Corvallis,2040,10,147
Corvallis,2045,10,148
Corvallis,2050,10,150
EugeneSpringfield,1990,126.58,411.589941
EugeneSpringfield,1995,127.81,414.259941
EugeneSpringfield,2000,129.17,417.199941
EugeneSpringfield,2005,130,419
EugeneSpringfield,2010,137,401
EugeneSpringfield,2015,142,416
EugeneSpringfield,2020,142,416
EugeneSpringfield,2025,143.8428571,427.1857143
EugeneSpringfield,2030,145.6857143,438.3714286
EugeneSpringfield,2035,147.5285714,449.5571429
EugeneSpringfield,2040,149.3714286,460.7428571
EugeneSpringfield,2045,151.2142857,471.9285714
EugeneSpringfield,2050,154.9,494.3
GrantsPass,1990,100,159
GrantsPass,1995,100,159
GrantsPass,2000,100,159
GrantsPass,2005,100,159
GrantsPass,2010,100,159
GrantsPass,2015,100,159
GrantsPass,2020,100,159
GrantsPass,2025,100,159
GrantsPass,2030,100,159
GrantsPass,2035,100,159
GrantsPass,2040,100,159
GrantsPass,2045,100,159
GrantsPass,2050,100,159
Metro,1990,506.4,1943.019429
Metro,1995,512.8,1959.999429
Metro,2000,520.91,1981.489429
Metro,2005,523,1995
Metro,2010,535,2014
Metro,2015,562,2094
Metro,2020,572,2163
Metro,2025,581.5,2232
Metro,2030,591,2301
Metro,2035,600.5,2370
Metro,2040,610,2439
Metro,2045,617.5,2475
Metro,2050,625,2511
RogueValley,1990,101.26,410
RogueValley,1995,102.6,413.27
RogueValley,2000,103.83,416.3
RogueValley,2005,104.76,418.59
RogueValley,2010,115,418.59
RogueValley,2015,114,415
RogueValley,2020,114,415
RogueValley,2025,114,415
RogueValley,2030,114,415
RogueValley,2035,114,415
RogueValley,2040,114,415
RogueValley,2045,114,415
RogueValley,2050,114,415
SalemKeizer,1990,119.37,408.96
SalemKeizer,1995,120.34,412.66
SalemKeizer,2000,121.41,416.75
SalemKeizer,2005,122,419
SalemKeizer,2010,129,419
SalemKeizer,2015,137,434
SalemKeizer,2020,143.5,435.9
SalemKeizer,2025,150,437.8
SalemKeizer,2030,156.5,439.7
SalemKeizer,2035,163,441.6
SalemKeizer,2040,163,441.6
SalemKeizer,2045,169.5,443.5
SalemKeizer,2050,176,445.4
None,1990,2237,12546
None,1995,2250,11678
None,2000,2270,14223
None,2005,2236,14465
None,2010,2202,14706
None,2015,2333,15145
None,2020,2333,15145
None,2025,2333,15145
None,2030,2333,15145
None,2035,2333,15145
None,2040,2333,15145
None,2045,2333,15145
None,2050,2333,15145
